pAsuram,Word,Meaning,
1-1-1-vAdinEn vAdi,perum thuyar,being the recipient of great sorrow,
1-1-1-vAdinEn vAdi,idumbaiyil,in the body which is the cause for all sorrows,
1-1-1-vAdinEn vAdi,piRandhu,being born,
1-1-1-vAdinEn vAdi,kUdinEn,"being unable to distinguish between body and soul, and remained closely together;",
1-1-1-vAdinEn vAdi,kUdi,having remained in this manner for a long time,
1-1-1-vAdinEn vAdi,iLaiyavar,young women,
1-1-1-vAdinEn vAdi,tharum,giving,
1-1-1-vAdinEn vAdi,kalaviyE,union only,
1-1-1-vAdinEn vAdi,karudhi,thinking about,
1-1-1-vAdinEn vAdi,avar thammOdu,following their foot steps,
1-1-1-vAdinEn vAdi,OdinEn,ran behind them;,
1-1-1-vAdinEn vAdi,Odi,"in this manner, not remaining in any place, running around many matters seeking joy",
1-1-1-vAdinEn vAdi,manaththAl,with the intellect which was following the worldly pleasures,
1-1-1-vAdinEn vAdi,varundhinEn,"experienced sorrow; further,",
1-1-1-vAdinEn vAdi,vAdinEn,suffered (like a support-less creeper);,
1-1-1-vAdinEn vAdi,vAdi,having suffered,
1-1-1-vAdinEn vAdi,uyvadhu,for being uplifted,
1-1-1-vAdinEn vAdi,Or poruLAl,a nice principle (sarvESvaran-s mercy),
1-1-1-vAdinEn vAdi,uNarvu enum,gyAnam (knowledge),
1-1-1-vAdinEn vAdi,perum,big,
1-1-1-vAdinEn vAdi,padham,state,
1-1-1-vAdinEn vAdi,therindhu nAdinEn,"understood as it is, analysed -bhagavath vishayam (matters relating to bhagavAn) is good and samsAram (bondage in material world) is bad-;",
1-1-1-vAdinEn vAdi,nAdi,having analysed,
1-1-1-vAdinEn vAdi,nAn,"I, who am unqualified to recite the divine name",
1-1-1-vAdinEn vAdi,nArAyaNA ennum,nArAyaNa,
1-1-1-vAdinEn vAdi,nAmam,the divine name,
1-1-1-vAdinEn vAdi,kaNdu koNdEn,got to see.,
1-1-2-AviyE amudhE,AviyE,Oh my life!,
1-1-2-AviyE amudhE,amudhE,Oh one who is enjoyable for me like nectar!,
1-1-2-AviyE amudhE,ena,saying these many praises,
1-1-2-AviyE amudhE,ninaindhu,thinking about the insignificant pleasures they give,
1-1-2-AviyE amudhE,urugi,melting like ice,
1-1-2-AviyE amudhE,avaravar,of those women,
1-1-2-AviyE amudhE,paNai,large,
1-1-2-AviyE amudhE,mulai,bosoms,
1-1-2-AviyE amudhE,thuNaiyA,having as protection,
1-1-2-AviyE amudhE,pAviyEn,I who am a sinner,
1-1-2-AviyE amudhE,uNarAdhu,without knowing -sarvESvaran is the rakshaka (protector)-,
1-1-2-AviyE amudhE,eththanai pagalum,forever,
1-1-2-AviyE amudhE,nALgaLum,everyday,
1-1-2-AviyE amudhE,pazhudhupOy ozhindhana,was wasted;,
1-1-2-AviyE amudhE,thUvi,with wings,
1-1-2-AviyE amudhE,sEr,matching,
1-1-2-AviyE amudhE,annam,swan,
1-1-2-AviyE amudhE,thuNaiyodum,with its female counterpart,
1-1-2-AviyE amudhE,puNarum,living together,
1-1-2-AviyE amudhE,punal,with water,
1-1-2-AviyE amudhE,sUzh,surrounded,
1-1-2-AviyE amudhE,kudandhai,ArAvamudhAzhwAr in thirukkudandhai,
1-1-2-AviyE amudhE,thozhudhu,worshipped,
1-1-2-AviyE amudhE,nAn,I who was immersed in worldly pleasures,
1-1-2-AviyE amudhE,uyya,to get uplifted,
1-1-2-AviyE amudhE,nArAyaNA ennum nAmam,the divine name -nArAyaNa-,
1-1-2-AviyE amudhE,en nAvinAl,with my tongue,
1-1-2-AviyE amudhE,kaNdu koNdEn,praised and realised.,
1-1-3-sEmamE vENdi,sEmamE,well-being only,
1-1-3-sEmamE vENdi,vENdi,desiring (but without not performing virtuous duties which are required for that),
1-1-3-sEmamE vENdi,thIvinai,sins,
1-1-3-sEmamE vENdi,perukki,increasing,
1-1-3-sEmamE vENdi,therivaimAr,of women,
1-1-3-sEmamE vENdi,uruvamE,physical beauty only,
1-1-3-sEmamE vENdi,maruvi,thinking about,
1-1-3-sEmamE vENdi,kazhindha,wasted,
1-1-3-sEmamE vENdi,annALgaL,those times,
1-1-3-sEmamE vENdi,UmanAr,mute persons,
1-1-3-sEmamE vENdi,kaNda,saw,
1-1-3-sEmamE vENdi,kanavilum,more than the dream,
1-1-3-sEmamE vENdi,pazhudhAy,being useless,
1-1-3-sEmamE vENdi,ozhindhana,lost; hence,
1-1-3-sEmamE vENdi,kAmanAr,for cupid,
1-1-3-sEmamE vENdi,thAdhai,being the father,
1-1-3-sEmamE vENdi,nammudai,for all of us,
1-1-3-sEmamE vENdi,adigaL,being the lord,
1-1-3-sEmamE vENdi,tham,him,
1-1-3-sEmamE vENdi,adaindhAr,for those who hold as refuge,
1-1-3-sEmamE vENdi,manaththu,in the heart,
1-1-3-sEmamE vENdi,iruppAr,sarvESvaran who firmly remains,
1-1-3-sEmamE vENdi,nAmam,word,
1-1-3-sEmamE vENdi,nArAyaNA ennum,nArAyaNa,
1-1-3-sEmamE vENdi,nAmam,divine name,
1-1-3-sEmamE vENdi,nAn,I who was running behind worldly pleasures,
1-1-3-sEmamE vENdi,uyya,to be uplifted,
1-1-3-sEmamE vENdi,nAn,who is too lost for redemption,
1-1-3-sEmamE vENdi,kaNdu koNdEn,realised.,
1-1-4-venRiyE vENdi,venRiyE,Victory only,
1-1-4-venRiyE vENdi,vENdi,desired,
1-1-4-venRiyE vENdi,vIzh,that which will be destroyed,
1-1-4-venRiyE vENdi,porutku,for wealth,
1-1-4-venRiyE vENdi,irangi,worrying,
1-1-4-venRiyE vENdi,vEl kaNAr,with the women whose eyes resemble spear,
1-1-4-venRiyE vENdi,kalaviyE,union only,
1-1-4-venRiyE vENdi,karudhi,considered,
1-1-4-venRiyE vENdi,ninRavA nillA,not being firm on anything,
1-1-4-venRiyE vENdi,nenjinai,heart,
1-1-4-venRiyE vENdi,udaiyEn,I who am having,
1-1-4-venRiyE vENdi,en seygEn,"what will I do; (not having the means to reach you, I am unable to do anything)",
1-1-4-venRiyE vENdi,anRu,on the day when earth was engulfed by deluge,
1-1-4-venRiyE vENdi,nedu,tall,
1-1-4-venRiyE vENdi,visumbu,sky,
1-1-4-venRiyE vENdi,aNavum,growing to touch,
1-1-4-venRiyE vENdi,panRiyAy,having the form of varAha (wild boar),
1-1-4-venRiyE vENdi,pAragam,earth,
1-1-4-venRiyE vENdi,kINda,uplifted,
1-1-4-venRiyE vENdi,pAzhiyAn,the strong one,
1-1-4-venRiyE vENdi,AzhiyAn,sarvESvaran-s,
1-1-4-venRiyE vENdi,aruLE,by mercy only,
1-1-4-venRiyE vENdi,nAn,I who was attached to worldly pleasures,
1-1-4-venRiyE vENdi,nanRu,properly,
1-1-4-venRiyE vENdi,uyya,to be uplifted,
1-1-4-venRiyE vENdi,nArAyaNA ennum nAmam,the divine name nArAyaNa,
1-1-4-venRiyE vENdi,nAn,I who was prideful,
1-1-4-venRiyE vENdi,kaNdu koNdEn,realised.,
1-1-5-kaLvanEn AnEn,kaLvanEn AnEn,"(Previously, bhagavAn-s possession AthmA) I stole;",
1-1-5-kaLvanEn AnEn,padiRu,very evil acts,
1-1-5-kaLvanEn AnEn,seydhu iruppEn,I kept doing;,
1-1-5-kaLvanEn AnEn,kaNda A,any aspects seen,
1-1-5-kaLvanEn AnEn,thirithandhEnElum,even after engaging,
1-1-5-kaLvanEn AnEn,thiru aruL,(his) merciful glance,
1-1-5-kaLvanEn AnEn,sikkena,firmly,
1-1-5-kaLvanEn AnEn,peRREn,I got;,
1-1-5-kaLvanEn AnEn,theLLiyEn AnEn,I acquired clarity (about his lordship and my servitude);,
1-1-5-kaLvanEn AnEn,sel,"to travel in (archirAdhi mArgam, the path leading to paramapadham)",
1-1-5-kaLvanEn AnEn,gadhikku,to paramapadham,
1-1-5-kaLvanEn AnEn,amaindhEn,"became complete, to go;",
1-1-5-kaLvanEn AnEn,(further),,
1-1-5-kaLvanEn AnEn,uL elAm,"all that which are inside (i.e., bones, nerves) my body",
1-1-5-kaLvanEn AnEn,urugi,melting,
1-1-5-kaLvanEn AnEn,kural,tone,
1-1-5-kaLvanEn AnEn,thazhuththu ozhindhEn,stuttered;,
1-1-5-kaLvanEn AnEn,udambu elAm,everywhere on my body,
1-1-5-kaLvanEn AnEn,kaNNa nIr sOra,to have tears of happiness flow over,
1-1-5-kaLvanEn AnEn,naL,dense,
1-1-5-kaLvanEn AnEn,iruL aLavum,throughout the night,
1-1-5-kaLvanEn AnEn,pagal aLavum,throughout the day,
1-1-5-kaLvanEn AnEn,nArAyaNA ennum nAmam,"the divine name, nArAyaNa",
1-1-5-kaLvanEn AnEn,nAn,"I, the servitor",
1-1-5-kaLvanEn AnEn,azhaippan,got to call out.,
1-1-6-empirAn endhai,nambigAL!,Oh those who are complete (with enjoying bhagavAn-s qualities)!,
1-1-6-empirAn endhai,em pirAn,being my benefactor,
1-1-6-empirAn endhai,endhai,being my father,
1-1-6-empirAn endhai,ennudaich chuRRam,being all my relationships,
1-1-6-empirAn endhai,enakku arasu,being my ruler,
1-1-6-empirAn endhai,ennudai vAzh nAL,being my life-span,
1-1-6-empirAn endhai,arakkar,rAkshasas (demoniac people),
1-1-6-empirAn endhai,verukkoLa,to be scared,
1-1-6-empirAn endhai,ambinAl,with arrows,
1-1-6-empirAn endhai,nerukki,suffocating them,
1-1-6-empirAn endhai,avar uyir,their lives,
1-1-6-empirAn endhai,seguththa,destroyed,
1-1-6-empirAn endhai,em aNNal,"the eternal abode of sarvESvaran, who is my lord",
1-1-6-empirAn endhai,vambu,fragrance,
1-1-6-empirAn endhai,ulAm,blowing,
1-1-6-empirAn endhai,sOlai,garden,
1-1-6-empirAn endhai,mA,lengthy,
1-1-6-empirAn endhai,madhiL,having fort,
1-1-6-empirAn endhai,thanjai mA maNik kOyilE,thanjai mA maNik kOyil only,
1-1-6-empirAn endhai,vaNangi,worshipped,
1-1-6-empirAn endhai,nAn uyya,to be uplifted (like all of you),
1-1-6-empirAn endhai,nArAyaNA ennum nAmam,"the divine name, nArAyaNa",
1-1-6-empirAn endhai,kaNdu koNdEn,I got to realise.,
1-1-7-iRpiRappu,ulagil,for the residents of this earth,
1-1-7-iRpiRappu,thoNdarai,those who roam around doing menial services,
1-1-7-iRpiRappu,il,greatness of (their) household life,
1-1-7-iRpiRappu,piRappu,greatness of (their) birth,
1-1-7-iRpiRappu,aRiyIr,not knowing,
1-1-7-iRpiRappu,ivar,those who are wealthy now,
1-1-7-iRpiRappu,avar,were previously in poverty,
1-1-7-iRpiRappu,eNNIr,without knowing,
1-1-7-iRpiRappu,thanmai,their nature,
1-1-7-iRpiRappu,innadhu enRu,is in this particular manner,
1-1-7-iRpiRappu,uNarIr,not knowing,
1-1-7-iRpiRappu,kaRpagam!,Oh generous ones who resemble desire fulfilling kalpaka tree!,
1-1-7-iRpiRappu,pulavar,for learned persons,
1-1-7-iRpiRappu,kaLaigaN,Oh protector!,
1-1-7-iRpiRappu,enRu,saying in this manner,
1-1-7-iRpiRappu,kaNdavA,as thought in the heart,
1-1-7-iRpiRappu,pAdum,praising,
1-1-7-iRpiRappu,sol,for words,
1-1-7-iRpiRappu,poruL,and meanings,
1-1-7-iRpiRappu,ALIr,you who are experts,
1-1-7-iRpiRappu,vammin,come over;,
1-1-7-iRpiRappu,sollugEn,I am informing you (so that you don-t lose the apt goal);,
1-1-7-iRpiRappu,nIr,you who are like me,
1-1-7-iRpiRappu,punal,by water,
1-1-7-iRpiRappu,sUzh,surrounded,
1-1-7-iRpiRappu,kudandhai,ArAvamudhan emperumAn who is mercifully residing in thirukkudandhai,
1-1-7-iRpiRappu,thozhumin,worship;,
1-1-7-iRpiRappu,nArAyaNA ennum,the word which explains -I am all kinds of relationship-,
1-1-7-iRpiRappu,nAmam,divine name,
1-1-7-iRpiRappu,pAdi,speaking fully,
1-1-7-iRpiRappu,uymmin,be uplifted;,
1-1-7-iRpiRappu,nal poruL kANmin,"see, this is the ultimate principle.",
1-1-8-kaRRilEn kalaigaL,kalaigaL,SAsthrams,
1-1-8-kaRRilEn kalaigaL,kaRRilEn,I have not learned (from an AchArya);,
1-1-8-kaRRilEn kalaigaL,aim pulan,five senses,
1-1-8-kaRRilEn kalaigaL,karudhum,sought out,
1-1-8-kaRRilEn kalaigaL,karuththuL,in matters,
1-1-8-kaRRilEn kalaigaL,manaththai,mind,
1-1-8-kaRRilEn kalaigaL,thiruththinEn,intentionally engaged;,
1-1-8-kaRRilEn kalaigaL,adhanAl,due to this,
1-1-8-kaRRilEn kalaigaL,pEdhaiyEn,I who am ignorant,
1-1-8-kaRRilEn kalaigaL,nanmai,good thoughts,
1-1-8-kaRRilEn kalaigaL,peRRilEn,did not have;,
1-1-8-kaRRilEn kalaigaL,peru,vast,
1-1-8-kaRRilEn kalaigaL,nilaththu,earth,
1-1-8-kaRRilEn kalaigaL,Ar,filled,
1-1-8-kaRRilEn kalaigaL,uyirkku ellAm,for all creatures,
1-1-8-kaRRilEn kalaigaL,seRRamE,ways to harm,
1-1-8-kaRRilEn kalaigaL,vENdi,thinking,
1-1-8-kaRRilEn kalaigaL,thiritharuvEn,roaming around;,
1-1-8-kaRRilEn kalaigaL,"(though I was roaming around for a long time, due to his merciful glance)",,
1-1-8-kaRRilEn kalaigaL,thavirndhEn,I was freed from all of that;,
1-1-8-kaRRilEn kalaigaL,selgadhikku,to go to paramapadham which is the apt destination (through archirAdhi mArgam),
1-1-8-kaRRilEn kalaigaL,uyyum ARu,path to be uplifted,
1-1-8-kaRRilEn kalaigaL,eNNi,considering,
1-1-8-kaRRilEn kalaigaL,adiyEn,I who am a servitor,
1-1-8-kaRRilEn kalaigaL,nArAyaNA ennum nAmam,"the divine name, nArAyaNa",
1-1-8-kaRRilEn kalaigaL,nal thuNaiyAga,as good help,
1-1-8-kaRRilEn kalaigaL,paRRinEn,held on.,
1-1-9-kulandhaRum,nArAyaNA ennum nAmam,"the divine name, nArAyaNa",
1-1-9-kulandhaRum,kulam,(for those who meditate upon it) birth in great family,
1-1-9-kulandhaRum,tharum,will grant;,
1-1-9-kulandhaRum,selvam,wealth,
1-1-9-kulandhaRum,tharum,will grant;,
1-1-9-kulandhaRum,adiyAr,servitors,
1-1-9-kulandhaRum,padu,the sins to be experienced and exhausted,
1-1-9-kulandhaRum,thuyar Ayina ellAm,everything which is known as dhu:kham (sorrow),
1-1-9-kulandhaRum,nilam tharam seyyum,will completely flatten;,
1-1-9-kulandhaRum,nIL visumbu,paramapadham,
1-1-9-kulandhaRum,aruLum,will grant,
1-1-9-kulandhaRum,aruLodu,with mercy,
1-1-9-kulandhaRum,peru nilam,the great position of kainkaryam,
1-1-9-kulandhaRum,aLikkum,will grant;,
1-1-9-kulandhaRum,valam,strength (to enjoy him),
1-1-9-kulandhaRum,tharum,will grant;,
1-1-9-kulandhaRum,maRRum,all other aspects of well-being,
1-1-9-kulandhaRum,thandhidum,will facilitate;,
1-1-9-kulandhaRum,peRRa thAyinum,more than the mother who gave the body,
